Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,AMD,Ryzen 7 5700U,300,72.6,7875,https://cpu.userbenchmark.com/SpeedTest/1482042/AMD-Ryzen-7-5700U-with-Radeon-Graphics
CPU,BX80623I72600,Intel,Core i7-2600,301,72.6,169001,https://cpu.userbenchmark.com/Intel-Core-i7-2600/Rating/620
CPU,,Intel,Xeon E3-1226 v3,302,72.5,1946,https://cpu.userbenchmark.com/SpeedTest/18482/IntelR-XeonR-CPU-E3-1226-v3---330GHz
CPU,,Intel,Xeon E5-1620 0,303,72.5,15458,https://cpu.userbenchmark.com/SpeedTest/2930/IntelR-XeonR-CPU-E5-1620-0---360GHz
CPU,,Intel,Xeon E3-1265L v3,304,72.5,137,https://cpu.userbenchmark.com/SpeedTest/20266/IntelR-XeonR-CPU-E3-1265L-v3---250GHz
CPU,YD250XBBM4KAF,AMD,Ryzen 5 2500X,305,72.4,1740,https://cpu.userbenchmark.com/SpeedTest/567224/AMD-Ryzen-5-2500X-Quad-Core-Processor
CPU,,Intel,Xeon X5660,306,72.4,6908,https://cpu.userbenchmark.com/SpeedTest/17750/IntelR-XeonR-CPU-----------X5660----280GHz
CPU,,Intel,Xeon E3-1220 v5,307,72.3,1047,https://cpu.userbenchmark.com/SpeedTest/139116/IntelR-XeonR-CPU-E3-1220-v5---300GHz
CPU,,Intel,Core i5-3550,308,72.2,20056,https://cpu.userbenchmark.com/SpeedTest/846/IntelR-CoreTM-i5-3550-CPU---330GHz
CPU,,Intel,Xeon E31270,309,72.2,3064,https://cpu.userbenchmark.com/SpeedTest/5604/IntelR-XeonR-CPU-E31270---340GHz
CPU,,Intel,Xeon E3-1245 v3,310,72.1,2521,https://cpu.userbenchmark.com/SpeedTest/4697/IntelR-XeonR-CPU-E3-1245-v3---340GHz
CPU,CL8068403373522,Intel,Core i5-8300H,311,72.1,158942,https://cpu.userbenchmark.com/SpeedTest/425634/IntelR-CoreTM-i5-8300H-CPU---230GHz
CPU,,Intel,Core i5-6600T,312,72.1,1099,https://cpu.userbenchmark.com/SpeedTest/37851/IntelR-CoreTM-i5-6600T-CPU---270GHz
CPU,,Intel,Core i7-3770S,313,72,11378,https://cpu.userbenchmark.com/SpeedTest/2218/IntelR-CoreTM-i7-3770S-CPU---310GHz
CPU,,Intel,Core i7 975,314,71.9,2829,https://cpu.userbenchmark.com/SpeedTest/941/IntelR-CoreTM-i7-CPU---------975----333GHz
CPU,,Intel,Core i5-1145G7,315,71.9,1949,https://cpu.userbenchmark.com/SpeedTest/1345527/11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz
CPU,,Intel,Xeon W3570,316,71.9,416,https://cpu.userbenchmark.com/SpeedTest/12630/IntelR-XeonR-CPU-----------W3570----320GHz
CPU,BX80662I56500,Intel,Core i5-6500,317,71.8,245345,https://cpu.userbenchmark.com/Intel-Core-i5-6500/Rating/3513
CPU,BX80677I37320,Intel,Core i3-7320,318,71.8,402,https://cpu.userbenchmark.com/Intel-Core-i3-7320/Rating/3888
CPU,CM8066201920202,Intel,Core i7-6700T,319,71.7,8703,https://cpu.userbenchmark.com/SpeedTest/36439/IntelR-CoreTM-i7-6700T-CPU---280GHz
